"Специализация	Название	Код продукта"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Advanced Special	4022"
"NDR (KATA)	Kaspersky Symphony Special	4150"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Standard Nuclear Industry	4677"
"NDR (KATA)	Kaspersky Anti Targeted Attack NDR (KATA) Plus Special Plus	4678"
"NDR (KATA)	Kaspersky Anti Targeted Attack XDR	4682"
"NDR (KATA)	Кaspersky Anti Targeted Attack API Extension	4688"
"NDR (KATA)	Kaspersky Security для почтовых серверов Special 	4690"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Standard	4691"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Advanced	4692"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Enterprise	4693"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Light	4694"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Additional Sensor	4695"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform	4696"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Extension Module	4697"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Advanced Ultimate	4699"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Enterprise EDR Edition	4705"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Advanced EDR Edition	4706"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform Advanced Nuclear Industry	4721"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform NTA Edition Add-on	4722"
"NDR (KATA)	Kaspersky Anti Targeted Attack Advanced Mail Security Special. 5000-MailAddress	4725"
"NDR (KATA)	Kaspersky Anti Targeted Attack NDR (KATA) Plus Special	4726"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform NDR (KATA) Only	4738"
"NDR (KATA)	Kaspersky Anti Targeted Attack Platform NDR (KATA) Add-on	4739"
"NDR (KATA)	Kaspersky Anti Targeted Attack Basic	4776"
"NDR (KATA)	Kaspersky Anti Targeted Attack NDR (KATA) Plus	4777"
"NDR (KATA)	Kaspersky Anti Targeted Attack Ultimate	4778"
"NDR (KATA)	Kaspersky Anti Targeted Attack Mail Security Suite	4780"
"NDR (KATA)	Kaspersky Network Detection and Response Ultimate	4781"
"NDR (KATA)	Kaspersky Total Premium Security	4807"
"NDR (KATA)	Kaspersky Appliance for Software and Hardware 	8506"
"EDR/XDR (KEDR/Symphony)	Kaspersky Smart II	4068"
"EDR/XDR (KEDR/Symphony)	Kaspersky TOTAL Anti Target Advanced	4079"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony XDR with NDR (KATA), including MDR and KTL	4376"
"EDR/XDR (KEDR/Symphony)	Kaspersky Total Security Expert для бизнеса	4488"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony EDR	4501"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony MDR	4502"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony XDR	4503"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony XDR Core	4504"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony EDR Expert	4508"
"EDR/XDR (KEDR/Symphony)	Kaspersky Security Bundle до 3600 устройств: Endpoint для бизнеса, почтовых серверов, MDR 	4510"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony XDR with NDR (KATA)	4513"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert GosSOPKA Add-on	4610"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert AI Add-on	4611"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert with AI	4612"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Plus with AI	4613"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Plus with GosSOPKA	4614"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert with GosSOPKA	4615"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Plus with AI & GosSOPKA	4616"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert with AI & GosSOPKA	4617"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Standard Edition	4702"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Advanced Edition	4703"
"EDR/XDR (KEDR/Symphony)	Kaspersky Anti Targeted Attack Platform EDR Agent	4704"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Plus 	4711"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert 	4712"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Telemetry Retention 60 days	4714"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Telemetry Retention 90 days	4715"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Special 	4716"
"EDR/XDR (KEDR/Symphony)	Kaspersky Anti Targeted Attack Platform EDR Agent Special	4717"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert Nuclear Industry	4718"
"EDR/XDR (KEDR/Symphony)	Kaspersky Symphony XDR Nuclear Industry	4720"
"EDR/XDR (KEDR/Symphony)	Kaspersky Anti Targeted Attack Platform EDR Agent Plus	4724"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection & Response NDR (KATA) Edition	4779"
"EDR/XDR (KEDR/Symphony)	Kaspersky Total Security Plus Стандарт для бизнеса 	4789"
"EDR/XDR (KEDR/Symphony)	Kaspersky Endpoint Detection and Response Expert for LPC	4791"
"EDR/XDR (KEDR/Symphony)	Kaspersky Anti Targeted Attack Platform EDR Agent Ultimate	4795"
"EDR/XDR (KEDR/Symphony)	Kaspersky MDR	4829"
"EDR/XDR (KEDR/Symphony)	Kaspersky Total Security для бизнеса EDR Ready 	4889"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform for SOC with AI	1072"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support for Government""	4030"
"SIEM (KUMA) (KUMA)	Kaspersky Unified Monitoring and Analysis Platform	4032"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with High Availability	4033"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support	4034"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support and High Availability	4035"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform, GosSOPKA compatible	4036"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with High Availability	4037"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with Netflow support	4038"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with Netflow and HA support	4039"
"SIEM (KUMA)	Kaspersky UMAP with Netflow support and High Availability for Nuclear Power Plant	4044"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform Advanced with Netflow and High Availability	4046"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support and TI	4047"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with TI	4048"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with TI	4049"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with Netflow support and TI	4051"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform for SOC	4052"
"SIEM (KUMA)	KUMA XDR Add-on	4053"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with Netflow and XDR	4055"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform Storage with Netflow support	4062"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support for SOC	4064"
"SIEM (KUMA)	Kaspersky Smart I	4067"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform for SOC with AI	4075"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform for SOC with TI and AI	4080"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform for LPC	4082"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with AI	4090"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support and AI	4091"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform, GosSOPKA compatible and AI	4092"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform GosSOPKA compatible with Netflow support and AI	4093"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with Netflow support, TI and AI	4094"
"SIEM (KUMA)	Kaspersky Unified Monitoring and Analysis Platform with TI and AI	4095"
